# Rf minimum position in the X direction (across the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
   7.7866667e-04   8.6285658e-20   8.3148318e-07
   7.8933333e-04  -1.9614049e-19   8.3444386e-07
   8.0000000e-04  -5.5706389e-20   8.4427502e-07
   8.1066667e-04   1.3144742e-19   8.5040956e-07
   8.2133333e-04   3.7050132e-20   8.5706394e-07
   8.3200000e-04  -5.7271103e-20   8.6493746e-07
   8.4266667e-04   8.2722387e-20   8.7190899e-07
   8.5333333e-04  -1.0523630e-19   8.7794633e-07
   8.6400000e-04  -1.2151478e-20   8.8914170e-07
   8.7466667e-04   1.2773653e-19   8.9031758e-07
   8.8533333e-04  -3.8806190e-19   9.0135815e-07
   8.9600000e-04  -3.4181029e-19   9.0654930e-07
   9.0666667e-04  -3.8933311e-19   9.1616316e-07
   9.1733333e-04  -1.5582088e-19   9.2358247e-07
   9.2800000e-04  -1.0965234e-19   9.3031176e-07
   9.3866667e-04  -3.9124937e-19   9.4073332e-07
   9.4933333e-04  -1.5785623e-19   9.4798513e-07
   9.6000000e-04  -2.5226372e-19   9.5663218e-07
   9.7066667e-04  -1.5925463e-19   9.6468968e-07
   9.8133333e-04  -3.4723890e-19   9.7056181e-07
   9.9200000e-04  -2.0749800e-19   9.7701404e-07
   1.0026667e-03  -1.6139650e-19   9.8345901e-07
   1.0133333e-03  -6.8550962e-20   9.9076267e-07
   1.0240000e-03  -3.4965869e-19   9.9819937e-07
   1.0346667e-03  -7.0047196e-20   1.0066728e-06
   1.0453333e-03   1.6246351e-19   1.0138142e-06
   1.0560000e-03  -7.1543860e-20   1.0221289e-06
   1.0666667e-03  -3.0515900e-19   1.0274009e-06
   1.0773333e-03  -4.4542996e-19   1.0288375e-06
   1.0880000e-03  -1.6681982e-19   1.0367694e-06
   1.0986667e-03  -3.5324943e-19   1.0441720e-06
   1.1093333e-03  -1.2175921e-19   1.0450269e-06
   1.1200000e-03  -2.9881478e-20   1.0504983e-06
