# Rf minimum position in the Y direction (perpendicular to the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
   3.2000000e-04   1.2688341e-05   9.7569372e-06
   3.3066667e-04   1.2693327e-05   9.7158344e-06
   3.4133333e-04   1.2691502e-05   9.6804663e-06
   3.5200000e-04   1.2685852e-05   9.6439203e-06
   3.6266667e-04   1.2687096e-05   9.6055835e-06
   3.7333333e-04   1.2683273e-05   9.5632953e-06
   3.8400000e-04   1.2684919e-05   9.5315669e-06
   3.9466667e-04   1.2682764e-05   9.4914801e-06
   4.0533333e-04   1.2684640e-05   9.4557207e-06
   4.1600000e-04   1.2683334e-05   9.4191048e-06
   4.2666667e-04   1.2680974e-05   9.3809891e-06
   4.3733333e-04   1.2677026e-05   9.3389850e-06
   4.4800000e-04   1.2675285e-05   9.2977595e-06
   4.5866667e-04   1.2670817e-05   9.2622008e-06
   4.6933333e-04   1.2671647e-05   9.2268154e-06
   4.8000000e-04   1.2664448e-05   9.1878172e-06
   4.9066667e-04   1.2666762e-05   9.1446624e-06
   5.0133333e-04   1.2662346e-05   9.1141178e-06
   5.1200000e-04   1.2659528e-05   9.0695584e-06
   5.2266667e-04   1.2653599e-05   9.0299449e-06
   5.3333333e-04   1.2656009e-05   8.9921096e-06
   5.4400000e-04   1.2650050e-05   8.9546521e-06
   5.5466667e-04   1.2642017e-05   8.9161198e-06
   5.6533333e-04   1.2640043e-05   8.8788329e-06
   5.7600000e-04   1.2633626e-05   8.8377360e-06
   5.8666667e-04   1.2638796e-05   8.8049701e-06
   5.9733333e-04   1.2627712e-05   8.7639850e-06
   6.0800000e-04   1.2630188e-05   8.7257035e-06
   6.1866667e-04   1.2625047e-05   8.6885328e-06
   6.2933333e-04   1.2622884e-05   8.6445832e-06
   6.4000000e-04   1.2616585e-05   8.6112592e-06
   6.5066667e-04   1.2613226e-05   8.5774542e-06
   6.6133333e-04   1.2610257e-05   8.5361164e-06
   6.7200000e-04   1.2603768e-05   8.5007566e-06
   6.8266667e-04   1.2604090e-05   8.4623864e-06
   6.9333333e-04   1.2598998e-05   8.4303844e-06
   7.0400000e-04   1.2598108e-05   8.3908598e-06
   7.1466667e-04   1.2592687e-05   8.3589723e-06
   7.2533333e-04   1.2587674e-05   8.3199722e-06
   7.3600000e-04   1.2593104e-05   8.2854198e-06
   7.4666667e-04   1.2590793e-05   8.2482565e-06
   7.5733333e-04   1.2582155e-05   8.2113257e-06
   7.6800000e-04   1.2586614e-05   8.1793944e-06
   7.7866667e-04   1.2581979e-05   8.1394974e-06
   7.8933333e-04   1.2577775e-05   8.1090438e-06
   8.0000000e-04   1.2578339e-05   8.0731076e-06
   8.1066667e-04   1.2573521e-05   8.0362073e-06
   8.2133333e-04   1.2575716e-05   8.0053593e-06
   8.3200000e-04   1.2569498e-05   7.9614086e-06
   8.4266667e-04   1.2572942e-05   7.9294259e-06
   8.5333333e-04   1.2570718e-05   7.8956822e-06
   8.6400000e-04   1.2567870e-05   7.8646018e-06
   8.7466667e-04   1.2561320e-05   7.8268719e-06
   8.8533333e-04   1.2566799e-05   7.7943487e-06
   8.9600000e-04   1.2562004e-05   7.7614135e-06
   9.0666667e-04   1.2560739e-05   7.7237214e-06
   9.1733333e-04   1.2557416e-05   7.6915073e-06
   9.2800000e-04   1.2549778e-05   7.6618442e-06
   9.3866667e-04   1.2549111e-05   7.6246100e-06
   9.4933333e-04   1.2542569e-05   7.5904849e-06
   9.6000000e-04   1.2547305e-05   7.5597957e-06
   9.7066667e-04   1.2541120e-05   7.5225991e-06
   9.8133333e-04   1.2536120e-05   7.4881110e-06
   9.9200000e-04   1.2533386e-05   7.4563467e-06
   1.0026667e-03   1.2532694e-05   7.4262368e-06
   1.0133333e-03   1.2530690e-05   7.3914190e-06
   1.0240000e-03   1.2524394e-05   7.3591641e-06
   1.0346667e-03   1.2529946e-05   7.3276603e-06
   1.0453333e-03   1.2521909e-05   7.2960496e-06
   1.0560000e-03   1.2523194e-05   7.2594813e-06
   1.0666667e-03   1.2515684e-05   7.2297497e-06
   1.0773333e-03   1.2515910e-05   7.1967531e-06
   1.0880000e-03   1.2517873e-05   7.1651572e-06
   1.0986667e-03   1.2509903e-05   7.1331875e-06
   1.1093333e-03   1.2504061e-05   7.1009572e-06
   1.1200000e-03   1.2489492e-05   7.0697480e-06
   1.1306667e-03   1.2496546e-05   7.0356888e-06
   1.1413333e-03   1.2491046e-05   7.0040648e-06
   1.1520000e-03   1.2488284e-05   6.9803272e-06
   1.1626667e-03   1.2486874e-05   6.9419370e-06
   1.1733333e-03   1.2487593e-05   6.9138079e-06
   1.1840000e-03   1.2481726e-05   6.8887511e-06
